strain	virus	gisaid_epi_isl	date	region	country	division	pangolin_lineage
hCoV-19/Egypt/CUNCI-HGC11I023/2021	betacoronavirus	EPI_ISL_907105	2021-01-03	Africa	Egypt	NA	A
hCoV-19/Egypt/CUNCI-HGC11I007/2021	betacoronavirus	EPI_ISL_907101	2021-01-03	Africa	Egypt	NA	A.28
hCoV-19/France/IDF-IPP01100/2021	betacoronavirus	EPI_ISL_912590	2021-01-08	Europe	France	Ile De France	A.28
hCoV-19/France/IDF-IPP01102/2021	betacoronavirus	EPI_ISL_912591	2021-01-09	Europe	France	Ile De France	A.28
hCoV-19/France/IDF-IPP01106/2021	betacoronavirus	EPI_ISL_912592	2021-01-09	Europe	France	Ile De France	A.28
hCoV-19/France/IDF-IPP01107/2021	betacoronavirus	EPI_ISL_912593	2021-01-09	Europe	France	Ile De France	A.28
hCoV-19/France/IDF-IPP01108/2021	betacoronavirus	EPI_ISL_912594	2021-01-09	Europe	France	Ile De France	A.28
hCoV-19/France/IDF-IPP01109/2021	betacoronavirus	EPI_ISL_912595	2021-01-09	Europe	France	Ile De France	A.28
hCoV-19/Belgium/rega-1746/2021	betacoronavirus	EPI_ISL_890348	2021-01-09	Europe	Belgium	Herne	A.21
hCoV-19/England/MILK-10CE26F/2021	betacoronavirus	EPI_ISL_909295	2021-01-17	Europe	United Kingdom	England	A.23.1
hCoV-19/USA/WA-S4074/2021	betacoronavirus	EPI_ISL_912120	2021-01-19	North America	USA	Washington	A.2.5
hCoV-19/USA/WA-S4100/2021	betacoronavirus	EPI_ISL_912146	2021-01-18	North America	USA	Washington	A.2.5
hCoV-19/France/IDF-IPP01085/2021	betacoronavirus	EPI_ISL_909679	2021-01-08	Europe	France	Ile de France	A.28
hCoV-19/France/IDF-IPP01089/2021	betacoronavirus	EPI_ISL_909676	2021-01-09	Europe	France	Ile de France	A.28
hCoV-19/France/IDF-IPP01088/2021	betacoronavirus	EPI_ISL_909675	2021-01-09	Europe	France	Ile de France	A.28
hCoV-19/France/IDF-IPP01090/2021	betacoronavirus	EPI_ISL_909677	2021-01-09	Europe	France	Ile de France	A.28
hCoV-19/France/IDF-IPP01087/2021	betacoronavirus	EPI_ISL_909681	2021-01-08	Europe	France	Ile de France	A.28
hCoV-19/France/IDF-IPP01086/2021	betacoronavirus	EPI_ISL_909680	2021-01-08	Europe	France	Ile de France	A.28
hCoV-19/Luxembourg/LNS4380338/2021	betacoronavirus	EPI_ISL_910605	2021-01-02	Europe	Luxembourg	NA	A.2.5
hCoV-19/Luxembourg/LNS9360161/2021	betacoronavirus	EPI_ISL_910602	2021-01-02	Europe	Luxembourg	NA	A.2.5
hCoV-19/Luxembourg/LNS0547948/2021	betacoronavirus	EPI_ISL_910601	2021-01-02	Europe	Luxembourg	NA	A.2.5
hCoV-19/France/IDF-IPP01097/2021	betacoronavirus	EPI_ISL_912587	2021-01-09	Europe	France	Ile De France	A.28
hCoV-19/France/IDF-IPP01098/2021	betacoronavirus	EPI_ISL_912588	2021-01-08	Europe	France	Ile De France	A.28
hCoV-19/France/IDF-IPP01095/2021	betacoronavirus	EPI_ISL_912585	2021-01-09	Europe	France	Ile De France	A.28
hCoV-19/France/IDF-IPP01096/2021	betacoronavirus	EPI_ISL_912586	2021-01-09	Europe	France	Ile De France	A.28
hCoV-19/France/IDF-IPP01091/2021	betacoronavirus	EPI_ISL_912547	2021-01-08	Europe	France	Ile De France	A.28
hCoV-19/France/IDF-IPP01110/2021	betacoronavirus	EPI_ISL_912596	2021-01-09	Europe	France	Ile De France	A.28
hCoV-19/France/IDF-IPP01111/2021	betacoronavirus	EPI_ISL_912597	2021-01-07	Europe	France	Ile De France	A.28
hCoV-19/CostaRica/INC-0218/2021	betacoronavirus	EPI_ISL_914824	2021-01-04	Caribbean	Costa Rica	Puntarenas	A.2.5.1
hCoV-19/CostaRica/INC-0228/2021	betacoronavirus	EPI_ISL_914834	2021-01-10	Caribbean	Costa Rica	Heredia	A.2.5
hCoV-19/CostaRica/INC-0223/2021	betacoronavirus	EPI_ISL_914829	2021-01-11	Caribbean	Costa Rica	Puntarenas	A.2.5.1
hCoV-19/France/IDF-IPP01099/2021	betacoronavirus	EPI_ISL_912589	2021-01-08	Europe	France	Ile De France	A.28
hCoV-19/Scotland/QEUH-10033E3/2021	betacoronavirus	EPI_ISL_918088	2021-01-14	Europe	United Kingdom	Scotland	A.23.1
hCoV-19/England/LIVE-DE862D/2021	betacoronavirus	EPI_ISL_919620	2021-01-20	Europe	United Kingdom	England	A.23.1
hCoV-19/England/MILK-103C132/2021	betacoronavirus	EPI_ISL_920959	2021-01-12	Europe	United Kingdom	England	A.23.1
hCoV-19/England/MILK-103BD8A/2021	betacoronavirus	EPI_ISL_920923	2021-01-12	Europe	United Kingdom	England	A.23.1
hCoV-19/Rwanda/NRLNAT1079/2021	betacoronavirus	EPI_ISL_925908	2021-01-07	Africa	Rwanda	Kigali	A.23.1
hCoV-19/Rwanda/NRLNAT1081/2021	betacoronavirus	EPI_ISL_925910	2021-01-13	Africa	Rwanda	Kigali	A.23.1
hCoV-19/Rwanda/NRLNAT1083/2021	betacoronavirus	EPI_ISL_925912	2021-01-07	Africa	Rwanda	Kigali	A.23.1
hCoV-19/England/TFCI-27020B6/2021	betacoronavirus	EPI_ISL_924816	2021-01-10	Europe	United Kingdom	England	A.23.1
hCoV-19/England/QEUH-1032327/2021	betacoronavirus	EPI_ISL_923778	2021-01-14	Europe	United Kingdom	England	A
hCoV-19/England/QEUH-10331C2/2021	betacoronavirus	EPI_ISL_923913	2021-01-15	Europe	United Kingdom	England	A.23.1
hCoV-19/Rwanda/NRLNAT1052/2021	betacoronavirus	EPI_ISL_925887	2021-01-06	Africa	Rwanda	Kigali	A.23.1
hCoV-19/Rwanda/NRLNAT1047/2021	betacoronavirus	EPI_ISL_925882	2021-01-11	Africa	Rwanda	Kigali	A.23.1
hCoV-19/Rwanda/NRLNAT1049/2021	betacoronavirus	EPI_ISL_925884	2021-01-11	Africa	Rwanda	Kigali	A.23.1
hCoV-19/Rwanda/NRLNAT1057/2021	betacoronavirus	EPI_ISL_925892	2021-01-12	Africa	Rwanda	Kigali	A.23.1
hCoV-19/Denmark/DCGC-37097/2021	betacoronavirus	EPI_ISL_928238	2021-01-18	Europe	Denmark	Midtjylland	A.21
hCoV-19/England/ALDP-1186A79/2021	betacoronavirus	EPI_ISL_931875	2021-01-25	Europe	United Kingdom	England	A.23.1
hCoV-19/England/ALDP-1186A5B/2021	betacoronavirus	EPI_ISL_931659	2021-01-25	Europe	United Kingdom	England	A.23.1
hCoV-19/France/NAQ-0008096/2021	betacoronavirus	EPI_ISL_934974	2021-01-15	Europe	France	Nouvelle-Aquitaine	A.27
hCoV-19/USA/NY-NYCPHL-002684/2021	betacoronavirus	EPI_ISL_937194	2021-01-18	North America	USA	New York	A.2.5
hCoV-19/Jordan/PHBC4/2021	betacoronavirus	EPI_ISL_935043	2021-01-07	Asia	Jordan	Amman	A.28
hCoV-19/Jordan/PHBC1/2021	betacoronavirus	EPI_ISL_935038	2021-01-07	Asia	Jordan	Amman	A.28
hCoV-19/Turkey/HSGM-1441/2021	betacoronavirus	EPI_ISL_940711	2021-01-20	Europe	Turkey	NA	A.27
hCoV-19/Netherlands/GE-RIVM-10870/2021	betacoronavirus	EPI_ISL_943112	2021-01-20	Europe	Netherlands	Gelderland	A
hCoV-19/USA/NMDOH-2021044683/2021	betacoronavirus	EPI_ISL_941335	2021-01-31	North America	USA	New Mexico	A.23.1
hCoV-19/USA/MD-MDH-0796/2021	betacoronavirus	EPI_ISL_942356	2021-01-27	North America	USA	Maryland	A.2.5
hCoV-19/England/ALDP-1195A59/2021	betacoronavirus	EPI_ISL_946877	2021-01-26	Europe	United Kingdom	England	A.23.1
hCoV-19/England/QEUH-11718FF/2021	betacoronavirus	EPI_ISL_947253	2021-01-26	Europe	United Kingdom	England	A.23.1
hCoV-19/Israel/CVL-1060/2021	betacoronavirus	EPI_ISL_944198	2021-01-03	Asia	Israel	Tel Aviv	A
hCoV-19/Scotland/QEUH-1188215/2021	betacoronavirus	EPI_ISL_946080	2021-01-28	Europe	United Kingdom	Scotland	A.23.1
hCoV-19/Scotland/QEUH-118A25F/2021	betacoronavirus	EPI_ISL_946035	2021-01-28	Europe	United Kingdom	Scotland	A.23.1
hCoV-19/England/ALDP-115051D/2021	betacoronavirus	EPI_ISL_947663	2021-01-23	Europe	United Kingdom	England	A.23.1
hCoV-19/Ghana/WACCBIP-GS115/2021	betacoronavirus	EPI_ISL_944662	2021-01-07	Africa	Ghana	NA	A.21
hCoV-19/Ghana/WACCBIP-GS109/2021	betacoronavirus	EPI_ISL_944663	2021-01-06	Africa	Ghana	NA	A.23.1
hCoV-19/Belgium/Jessa_55-2102-000125b/2021	betacoronavirus	EPI_ISL_949093	2021-01-11	Europe	Belgium	Hasselt	A.27
hCoV-19/Switzerland/GE-33018459/2021	betacoronavirus	EPI_ISL_953717	2021-01-20	Europe	Switzerland	Geneva	A.23.1
hCoV-19/England/LOND-12898B7/2021	betacoronavirus	EPI_ISL_949777	2021-01-12	Europe	United Kingdom	England	A.23.1
hCoV-19/England/ALDP-11B01DB/2021	betacoronavirus	EPI_ISL_956724	2021-01-28	Europe	United Kingdom	England	A.23.1
hCoV-19/Uganda/UG204/2021	betacoronavirus	EPI_ISL_954300	2021-01-02	Africa	Uganda	NA	A.23.1
hCoV-19/CanaryIslands/CN-IBV-97016094/2021	betacoronavirus	EPI_ISL_962937	2021-01-22	Europe	Canary Islands	Las Palmas de Gran Canaria	A.28
hCoV-19/USA/CA-LACPHL-AF00355/2021	betacoronavirus	EPI_ISL_962879	2021-01-26	North America	USA	California	A.2.5
hCoV-19/Canada/NB-NML-3295/2021	betacoronavirus	EPI_ISL_961660	2021-01-02	North America	Canada	New Brunswick	A.23.1
hCoV-19/Canada/NB-NML-3303/2021	betacoronavirus	EPI_ISL_961656	2021-01-03	North America	Canada	New Brunswick	A.23.1
hCoV-19/Canada/NB-NML-3296/2021	betacoronavirus	EPI_ISL_961653	2021-01-03	North America	Canada	New Brunswick	A.23.1
hCoV-19/Canada/NB-NML-3297/2021	betacoronavirus	EPI_ISL_961654	2021-01-03	North America	Canada	New Brunswick	A.23.1
hCoV-19/Canada/NB-NML-5574/2021	betacoronavirus	EPI_ISL_961649	2021-01-07	North America	Canada	New Brunswick	A.23.1
hCoV-19/Canada/NB-NML-5590/2021	betacoronavirus	EPI_ISL_961644	2021-01-10	North America	Canada	New Brunswick	A.19
hCoV-19/Canada/NB-NML-5580/2021	betacoronavirus	EPI_ISL_961645	2021-01-09	North America	Canada	New Brunswick	A.23.1
hCoV-19/Canada/NB-NML-5584/2021	betacoronavirus	EPI_ISL_961643	2021-01-10	North America	Canada	New Brunswick	A.23.1
hCoV-19/Canada/NB-NML-6352/2021	betacoronavirus	EPI_ISL_961635	2021-01-15	North America	Canada	New Brunswick	A.23.1
hCoV-19/Canada/NB-NML-6349/2021	betacoronavirus	EPI_ISL_961634	2021-01-15	North America	Canada	New Brunswick	A.23.1
hCoV-19/Canada/NB-NML-6350/2021	betacoronavirus	EPI_ISL_961632	2021-01-16	North America	Canada	New Brunswick	A.23.1
hCoV-19/CanaryIslands/CN-IBV-97016151/2021	betacoronavirus	EPI_ISL_962961	2021-01-22	Europe	Canary Islands	Las Palmas de Gran Canaria	A.28
hCoV-19/CanaryIslands/CN-IBV-97016150/2021	betacoronavirus	EPI_ISL_962960	2021-01-22	Europe	Canary Islands	Las Palmas de Gran Canaria	A.28
hCoV-19/CanaryIslands/CN-IBV-97016134/2021	betacoronavirus	EPI_ISL_962956	2021-01-18	Europe	Canary Islands	Las Palmas de Gran Canaria	A.28
hCoV-19/CanaryIslands/CN-IBV-97016132/2021	betacoronavirus	EPI_ISL_962954	2021-01-16	Europe	Canary Islands	Las Palmas de Gran Canaria	A.28
hCoV-19/CanaryIslands/CN-IBV-97016131/2021	betacoronavirus	EPI_ISL_962953	2021-01-18	Europe	Canary Islands	Las Palmas de Gran Canaria	A.28
hCoV-19/CanaryIslands/CN-IBV-97016129/2021	betacoronavirus	EPI_ISL_962951	2021-01-18	Europe	Canary Islands	Las Palmas de Gran Canaria	A.28
hCoV-19/CanaryIslands/CN-IBV-97016128/2021	betacoronavirus	EPI_ISL_962950	2021-01-18	Europe	Canary Islands	Las Palmas de Gran Canaria	A.28
hCoV-19/Canada/NB-NML-8786/2021	betacoronavirus	EPI_ISL_961618	2021-01-20	North America	Canada	New Brunswick	A.23.1
hCoV-19/CanaryIslands/CN-IBV-97016124/2021	betacoronavirus	EPI_ISL_962947	2021-01-18	Europe	Canary Islands	Las Palmas de Gran Canaria	A.28
hCoV-19/CanaryIslands/CN-IBV-97016109/2021	betacoronavirus	EPI_ISL_962946	2021-01-13	Europe	Canary Islands	Las Palmas de Gran Canaria	A.28
hCoV-19/Canada/NB-NML-8784/2021	betacoronavirus	EPI_ISL_961616	2021-01-20	North America	Canada	New Brunswick	A.23.1
hCoV-19/Canada/NB-NML-8792/2021	betacoronavirus	EPI_ISL_961613	2021-01-21	North America	Canada	New Brunswick	A.23.1
hCoV-19/CanaryIslands/CN-IBV-97016107/2021	betacoronavirus	EPI_ISL_962944	2021-01-15	Europe	Canary Islands	Las Palmas de Gran Canaria	A.28
hCoV-19/Canada/NB-NML-8793/2021	betacoronavirus	EPI_ISL_961614	2021-01-21	North America	Canada	New Brunswick	A.23.1
hCoV-19/Canada/NB-NML-8798/2021	betacoronavirus	EPI_ISL_961611	2021-01-22	North America	Canada	New Brunswick	A.23.1
hCoV-19/USA/WA-S4258/2021	betacoronavirus	EPI_ISL_962351	2021-01-18	North America	USA	Washington	A.2.5
hCoV-19/Belgium/ULG-11312/2021	betacoronavirus	EPI_ISL_959553	2021-01-10	Europe	Belgium	Namur	A.23.1
hCoV-19/Canada/ON-S2379/2021	betacoronavirus	EPI_ISL_961458	2021-01-20	North America	Canada	Ontario	A.23.1
hCoV-19/USA/FL-BPHL-0056/2021	betacoronavirus	EPI_ISL_965016	2021-01-24	North America	USA	Florida	A.2.5
hCoV-19/USA/FL-BPHL-0057/2021	betacoronavirus	EPI_ISL_965017	2021-01-25	North America	USA	Florida	A.2.5
hCoV-19/USA/FL-BPHL-0058/2021	betacoronavirus	EPI_ISL_965018	2021-01-25	North America	USA	Florida	A.2.5
hCoV-19/USA/FL-BPHL-0061/2021	betacoronavirus	EPI_ISL_965021	2021-01-16	North America	USA	Florida	A.2.5
hCoV-19/USA/FL-BPHL-0064/2021	betacoronavirus	EPI_ISL_965024	2021-01-17	North America	USA	Florida	A.2.5
hCoV-19/Kenya/C80125/2021	betacoronavirus	EPI_ISL_969003	2021-01-16	Africa	Kenya	Kwale	A.23.1
hCoV-19/Denmark/DCGC-40503/2021	betacoronavirus	EPI_ISL_972180	2021-01-25	Europe	Denmark	Midtjylland	A.23.1
hCoV-19/USA/MD-HP02138/2021	betacoronavirus	EPI_ISL_981126	2021-02-02	North America	USA	Maryland	A.2.5
hCoV-19/France/un-21012290541/2021	betacoronavirus	EPI_ISL_981485	2021-01-28	Europe	France	NA	A.21
hCoV-19/France/un-21012300202/2021	betacoronavirus	EPI_ISL_982120	2021-01-30	Europe	France	NA	A.21
hCoV-19/France/un-21012310131/2021	betacoronavirus	EPI_ISL_982132	2021-01-31	Europe	France	NA	A.21
hCoV-19/France/un-21022020124/2021	betacoronavirus	EPI_ISL_982176	2021-02-02	Europe	France	NA	A.28
hCoV-19/France/un-21022020123/2021	betacoronavirus	EPI_ISL_982175	2021-02-02	Europe	France	NA	A.28
hCoV-19/Canada/ON-PPS-21012021_0255/2021	betacoronavirus	EPI_ISL_982996	2021-01-20	North America	Canada	Ontario	A.23.1
hCoV-19/USA/MD-HP02015/2021	betacoronavirus	EPI_ISL_981093	2021-02-04	North America	USA	Maryland	A.2.5
hCoV-19/USA/MD-HP02116/2021	betacoronavirus	EPI_ISL_981091	2021-02-02	North America	USA	Maryland	A.2.5
hCoV-19/USA/MD-HP02133/2021	betacoronavirus	EPI_ISL_981092	2021-02-02	North America	USA	Maryland	A.2.5
hCoV-19/Nigeria/BCVL-18756/2021	betacoronavirus	EPI_ISL_985237	2021-01-08	Africa	Nigeria	Oyo	A
hCoV-19/Nigeria/BCVL-18912/2021	betacoronavirus	EPI_ISL_985238	2021-01-05	Africa	Nigeria	Oyo	A.27
hCoV-19/England/ALDP-109446C/2021	betacoronavirus	EPI_ISL_993348	2021-01-18	Europe	United Kingdom	England	A.23.1
hCoV-19/England/CAMC-11E8E3D/2021	betacoronavirus	EPI_ISL_989374	2021-02-03	Europe	United Kingdom	England	A.23.1
hCoV-19/England/ALDP-10EEBF5/2021	betacoronavirus	EPI_ISL_993023	2021-01-21	Europe	United Kingdom	England	A.23.1
hCoV-19/England/ALDP-1184CEE/2021	betacoronavirus	EPI_ISL_990748	2021-01-25	Europe	United Kingdom	England	A.23.1
hCoV-19/USA/NY-PRL-2021_0210_01B01/2021	betacoronavirus	EPI_ISL_995034	2021-02-08	North America	USA	New York	A.2.5
hCoV-19/USA/NY-PRL-2021_0210_01B03/2021	betacoronavirus	EPI_ISL_995035	2021-02-08	North America	USA	New York	A.2.5
hCoV-19/India/KA-NIMH-SEQ-166/2021	betacoronavirus	EPI_ISL_995747	2021-01-20	Asia	India	Karnataka	A.23.1
hCoV-19/England/MILK-11A56E9/2021	betacoronavirus	EPI_ISL_998080	2021-01-29	Europe	United Kingdom	England	A.27
hCoV-19/Scotland/EDB14780/2021	betacoronavirus	EPI_ISL_997129	2021-01-29	Europe	United Kingdom	Scotland	A.23.1
hCoV-19/Belgium/Jessa_55-2106-000151/2021	betacoronavirus	EPI_ISL_995535	2021-02-08	Europe	Belgium	Hasselt	A.23.1
hCoV-19/England/LIVE-DECE30/2021	betacoronavirus	EPI_ISL_997392	2021-01-12	Europe	United Kingdom	England	A.23.1
hCoV-19/England/LIVE-DECE21/2021	betacoronavirus	EPI_ISL_997391	2021-01-12	Europe	United Kingdom	England	A.23.1
hCoV-19/England/LIVE-DECDD9/2021	betacoronavirus	EPI_ISL_997390	2021-01-12	Europe	United Kingdom	England	A.23.1
hCoV-19/England/LIVE-DECD9D/2021	betacoronavirus	EPI_ISL_997389	2021-01-12	Europe	United Kingdom	England	A.23.1
hCoV-19/England/LIVE-DECD42/2021	betacoronavirus	EPI_ISL_997388	2021-01-12	Europe	United Kingdom	England	A.23.1
hCoV-19/England/LIVE-DECD24/2021	betacoronavirus	EPI_ISL_997387	2021-01-12	Europe	United Kingdom	England	A.23.1
hCoV-19/England/LIVE-DECCEB/2021	betacoronavirus	EPI_ISL_997386	2021-01-12	Europe	United Kingdom	England	A.23.1
hCoV-19/England/LIVE-DECC72/2021	betacoronavirus	EPI_ISL_997385	2021-01-12	Europe	United Kingdom	England	A.23.1
hCoV-19/England/LIVE-DEC87E/2021	betacoronavirus	EPI_ISL_997384	2021-01-12	Europe	United Kingdom	England	A.23.1
hCoV-19/Switzerland/SO-ETHZ-460975/2021	betacoronavirus	EPI_ISL_1002265	2021-01-18	Europe	Switzerland	Solothurn	A.28
hCoV-19/Switzerland/BE-ETHZ-470066/2021	betacoronavirus	EPI_ISL_1002272	2021-01-19	Europe	Switzerland	Bern	A.28
hCoV-19/England/TFCI-2705420/2021	betacoronavirus	EPI_ISL_1000903	2021-01-08	Europe	United Kingdom	England	A.23.1
hCoV-19/England/TFCI-2705AA6/2021	betacoronavirus	EPI_ISL_1000963	2021-01-23	Europe	United Kingdom	England	A.23.1
hCoV-19/CanaryIslands/CN-IBV-97016111/2021	betacoronavirus	EPI_ISL_1000977	2021-01-13	Europe	Canary Islands	Las Palmas de Gran Canaria	A.28
hCoV-19/CanaryIslands/CN-IBV-97016135/2021	betacoronavirus	EPI_ISL_1000984	2021-01-18	Europe	Canary Islands	Las Palmas de Gran Canaria	A.28
hCoV-19/CanaryIslands/CN-IBV-97016136/2021	betacoronavirus	EPI_ISL_1000985	2021-01-18	Europe	Canary Islands	Las Palmas de Gran Canaria	A.28
hCoV-19/CanaryIslands/CN-IBV-97016117/2021	betacoronavirus	EPI_ISL_1000981	2021-01-13	Europe	Canary Islands	Las Palmas de Gran Canaria	A.28
hCoV-19/CanaryIslands/CN-IBV-97016143/2021	betacoronavirus	EPI_ISL_1000990	2021-01-22	Europe	Canary Islands	Las Palmas de Gran Canaria	A.28
hCoV-19/CanaryIslands/CN-IBV-97016144/2021	betacoronavirus	EPI_ISL_1000991	2021-01-19	Europe	Canary Islands	Las Palmas de Gran Canaria	A.28
hCoV-19/CanaryIslands/CN-IBV-97016145/2021	betacoronavirus	EPI_ISL_1000992	2021-01-18	Europe	Canary Islands	Las Palmas de Gran Canaria	A.28
hCoV-19/Guinea/Conakry-INSP-51903/2021	betacoronavirus	EPI_ISL_999030	2021-01-05	Africa	Guinea	Conakry	A.21
hCoV-19/France/IDF-IPP02562/2021	betacoronavirus	EPI_ISL_1001388	2021-01-29	Europe	France	Ile-de-France	A.28
hCoV-19/Wales/PHWC-4C46A8/2021	betacoronavirus	EPI_ISL_999758	2021-01-30	Europe	United Kingdom	Wales	A.23.1
hCoV-19/Ireland/MH-NVRL-21IRL28825/2021	betacoronavirus	EPI_ISL_1001110	2021-01-31	Europe	Ireland	Meath	A
hCoV-19/Netherlands/UT-RIVM-11945/2021	betacoronavirus	EPI_ISL_1014076	2021-02-02	Europe	Netherlands	Utrecht	A
hCoV-19/USA/CA-RD-RA03041/2021	betacoronavirus	EPI_ISL_1011056	2021-01-31	North America	USA	California	A.2.5
hCoV-19/NewZealand/21MV0066/2021	betacoronavirus	EPI_ISL_1016854	2021-02-08	Oceania	New Zealand	Auckland	A.23.1
hCoV-19/USA/WA-S4568/2021	betacoronavirus	EPI_ISL_1015911	2021-01-25	North America	USA	Washington	A.2.5
hCoV-19/USA/NY-NYCPHL-003123/2021	betacoronavirus	EPI_ISL_1018009	2021-02-08	North America	USA	New York	A.2.5
hCoV-19/USA/WA-S4558/2021	betacoronavirus	EPI_ISL_1015901	2021-01-25	North America	USA	Washington	A.2.5
hCoV-19/USA/WA-S4484/2021	betacoronavirus	EPI_ISL_1015827	2021-01-20	North America	USA	Washington	A.2.5
hCoV-19/USA/WA-S4457/2021	betacoronavirus	EPI_ISL_1015800	2021-01-15	North America	USA	Washington	A.2.5
hCoV-19/USA/WA-S4488/2021	betacoronavirus	EPI_ISL_1015831	2021-01-20	North America	USA	Washington	A.2.5
hCoV-19/USA/GA-CDC-LC0006633/2021	betacoronavirus	EPI_ISL_1021148	2021-01-19	North America	USA	Georgia	A
hCoV-19/USA/FL-CDC-LC0008001/2021	betacoronavirus	EPI_ISL_1021629	2021-01-18	North America	USA	Florida	A.2.5
hCoV-19/England/CAMC-1263516/2021	betacoronavirus	EPI_ISL_1018852	2021-02-10	Europe	United Kingdom	England	A.27
hCoV-19/France/PAC-IHU-3240-1/2021	betacoronavirus	EPI_ISL_1020400	2021-01-25	Europe	France	Provence-Alpes-Cote d'Azur	A.21
hCoV-19/England/CAMC-12720D7/2021	betacoronavirus	EPI_ISL_1033251	2021-02-12	Europe	United Kingdom	England	A.23.1
hCoV-19/England/CAMC-127205F/2021	betacoronavirus	EPI_ISL_1033287	2021-02-11	Europe	United Kingdom	England	A.23.1
hCoV-19/England/CAMC-127209B/2021	betacoronavirus	EPI_ISL_1033249	2021-02-11	Europe	United Kingdom	England	A.23.1
hCoV-19/USA/NJ-CDC-LC0009246/2021	betacoronavirus	EPI_ISL_1030771	2021-01-22	North America	USA	New Jersey	A.2.5
hCoV-19/USA/NC-CDC-LC0002652/2021	betacoronavirus	EPI_ISL_1029862	2021-01-03	North America	USA	North Carolina	A
hCoV-19/USA/NC-CDC-LC0002643/2021	betacoronavirus	EPI_ISL_1029856	2021-01-03	North America	USA	North Carolina	A
hCoV-19/USA/FL-CDC-LC0010738/2021	betacoronavirus	EPI_ISL_1031846	2021-01-26	North America	USA	Florida	A.2.5
hCoV-19/USA/FL-CDC-LC0012945/2021	betacoronavirus	EPI_ISL_1037811	2021-02-01	North America	USA	Florida	A.2.5
hCoV-19/France/HDF-IPP03230/2021	betacoronavirus	EPI_ISL_1036389	2021-02-02	Europe	France	Hauts-de-France	A.28
hCoV-19/France/HDF-IPP03229/2021	betacoronavirus	EPI_ISL_1036388	2021-02-02	Europe	France	Hauts-de-France	A.28
hCoV-19/France/HDF-IPP03228/2021	betacoronavirus	EPI_ISL_1036387	2021-02-02	Europe	France	Hauts-de-France	A.28
hCoV-19/France/HDF-IPP03235/2021	betacoronavirus	EPI_ISL_1036393	2021-02-03	Europe	France	Hauts-de-France	A.28
hCoV-19/France/HDF-IPP03234/2021	betacoronavirus	EPI_ISL_1036392	2021-02-03	Europe	France	Hauts-de-France	A.28
hCoV-19/France/HDF-IPP03238/2021	betacoronavirus	EPI_ISL_1036394	2021-02-04	Europe	France	Hauts-de-France	A.28
hCoV-19/France/HDF-IPP03233/2021	betacoronavirus	EPI_ISL_1036391	2021-02-03	Europe	France	Hauts-de-France	A.28
hCoV-19/France/HDF-IPP03231/2021	betacoronavirus	EPI_ISL_1036390	2021-02-02	Europe	France	Hauts-de-France	A.28
hCoV-19/France/HDF-IPP03250/2021	betacoronavirus	EPI_ISL_1036397	2021-02-04	Europe	France	Hauts-de-France	A.28
hCoV-19/France/HDF-IPP03240/2021	betacoronavirus	EPI_ISL_1036396	2021-02-04	Europe	France	Hauts-de-France	A.28
hCoV-19/USA/OK-USAFSAM-S0419/2021	betacoronavirus	EPI_ISL_1036841	2021-01-19	North America	USA	Oklahoma	A.23.1
hCoV-19/Netherlands/UT-RIVM-13114/2021	betacoronavirus	EPI_ISL_1035381	2021-02-10	Europe	Netherlands	Utrecht	A
hCoV-19/England/MILK-125FAB4/2021	betacoronavirus	EPI_ISL_1033789	2021-02-05	Europe	United Kingdom	England	A.23.1
hCoV-19/England/ALDP-1294770/2021	betacoronavirus	EPI_ISL_1044871	2021-02-11	Europe	United Kingdom	England	A.23.1
hCoV-19/Egypt/CUNCI-HGC12I049/2021	betacoronavirus	EPI_ISL_1040916	2021-01-03	Africa	Egypt	NA	A
hCoV-19/Wales/ALDP-12A1A2C/2021	betacoronavirus	EPI_ISL_1043804	2021-02-11	Europe	United Kingdom	Wales	A
hCoV-19/USA/NY-PRL-2021_02_10_03B11/2021	betacoronavirus	EPI_ISL_1041287	2021-02-08	North America	USA	New York	A.23.1
hCoV-19/England/ALDP-129A130/2021	betacoronavirus	EPI_ISL_1043021	2021-02-12	Europe	United Kingdom	England	A.23.1
hCoV-19/England/CAMC-11AAC2E/2021	betacoronavirus	EPI_ISL_1047241	2021-01-26	Europe	United Kingdom	England	A.23.1
hCoV-19/England/OXON-F6642B/2021	betacoronavirus	EPI_ISL_1051884	2021-01-28	Europe	United Kingdom	England	A.21
hCoV-19/USA/WA-S4832/2021	betacoronavirus	EPI_ISL_1049680	2021-01-20	North America	USA	Washington	A.2.5
hCoV-19/Canada/NS-NML-16223/2021	betacoronavirus	EPI_ISL_1055741	2021-01-16	North America	Canada	Nova Scotia	A.2.5
hCoV-19/Canada/NS-NML-16224/2021	betacoronavirus	EPI_ISL_1055742	2021-01-16	North America	Canada	Nova Scotia	A.2.5
hCoV-19/Ireland/LH-NVRL-21IRL34979/2021	betacoronavirus	EPI_ISL_1055161	2021-01-04	Europe	Ireland	Louth	A
hCoV-19/Ireland/LH-NVRL-21IRL35717/2021	betacoronavirus	EPI_ISL_1055150	2021-01-12	Europe	Ireland	Louth	A
hCoV-19/Ireland/LH-NVRL-21IRL35708/2021	betacoronavirus	EPI_ISL_1055155	2021-01-19	Europe	Ireland	Louth	A
